CC12CCC3C(C1CC(C2O)O)CCC4=C3C=CC(=C4)O
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34CO
CCCCCCCCCCCCCCCC(=O)O
CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4=O)C
CC(C(=O)NC(C)C(=O)O)N
C(C(=O)NCC(=O)O)N
C(C1C(C(C(C(O1)OC(C=O)C(C(C(CO)O)O)O)O)O)O)O
C(=O)(N)N
CC(=O)NCCC(=O)C1=C(C=CC(=C1)OC)NC=O
C1=CC(=CC=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O.[Cl-]
C(C(=O)C(=O)O)O
C1=NC(=C2C(=N1)N(C=N2)C3C4C(C(O3)CO)OP(=O)(O4)O)N
CC1=C(C=C2CCC(OC2=C1C)(C)CCC(=O)O)O
COC1=C(C=CC(=C1)CCC(=O)CC(=O)CCC2=CC(=C(C=C2)O)OC)O
CC(=O)NC(CCC(=O)O)C(=O)O
C1=C(NC=N1)CC(CO)N
C1CC(N(C1)C(=O)C2CCCN2C(=O)C(CCCN=C(N)N)N)C(=O)NCC(=O)NC(CC3=CC=CC=C3)C(=O)NC(CO)C(=O)N4CCCC4C(=O)NC(CC5=CC=CC=C5)C(=O)NC(CCCN=C(N)N)C(=O)O
C12=C(NC(=O)N1)N=C(NC2=O)N
C1=NC(=O)N=C1
C1CC(=O)NC1
C(CC(=O)O)C(=O)C(=O)O
C(C(C(=O)O)O)O
C(C(=O)O)N
COC1=C(C=CC(=C1)OC)NC(C1=C(C=CC=C1)NS(=O)(=O)C=1SC=CC1)=O
ClC1=C(C=C(C=C1)S(=O)(=O)NC1=CC=C(C=C1)N1N=NC=C1C(F)(F)F)[N+](=O)[O-]
COC1=C(C=CC=C1)CN(C(CC=1N=C(SC1)C1=CC=CC=C1)=O)C
CC(=O)c4ccc(OCC(=O)N2CCC1=C(CCS1)C2C3CCCS3)cc4
C12CCc3c(ccc(c3)O)C2CCC2(C)C(C(O)CC21)O
OC1CC2C3CCc4cc(ccc4C3CCC2(C1O)C)O
Oc1ccc2C3C(CCc2c1)C1CC(O)C(C1(C)CC3)O
O=C1CCC2(C3CCC4(C)C(CCC4O)C3CCC2=C1)C
C12C(CCC3(C)C2CCC3O)C2(CCC(=O)C=C2CC1)C
OC1CCC2C1(C)CCC1C2CCC2=CC(=O)CCC21C
C1(CCC2(CO)C3CCC4(C)C(CCC4C3CCC2=C1)=O)=O
OCC12C(=CC(CC2)=O)CCC2C3C(CCC21)(C)C(=O)CC3
OCC12C(CCC3C4CCC(C4(CCC23)C)=O)=CC(CC1)=O
C(CCCCC(=O)O)CCCCCCCCCC
C(CCCCCCCCC(O)=O)CCCCCC
C(CCCCCCC)CCCCCCCC(=O)O
C1C(=O)CCC2(C)C3CCC4(C)C(C3CCC21)CCC4=O
O=C1CCC2C3C(CCC21C)C1(C)C(CC(=O)CC1)CC3
C1C2(C)C(CCC2=O)C2CCC3CC(CCC3(C2C1)C)=O
NC(C(NC(C)C(=O)O)=O)C
CC(N)C(NC(C(O)=O)C)=O
N(C(=O)C(N)C)C(C)C(=O)O
C(N)C(=O)NCC(O)=O
O=C(O)CNC(=O)CN
C(C(O)=O)NC(CN)=O
O(C1OC(CO)C(O)C(C1O)O)C(C=O)C(O)C(C(CO)O)O
OC(C(CO)O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C=O
C1(C(O)C(O)C(OC1CO)OC(C(O)C(C(CO)O)O)C=O)O
O=C(N)N
C(N)(N)=O
NC(=O)N
c1c(C(=O)CCNC(C)=O)c(ccc1OC)NC=O
N(C(=O)C)CCC(=O)c1c(NC=O)ccc(OC)c1
c1c(C(CCNC(C)=O)=O)c(NC=O)ccc1OC
[Cl-].c1(O)c([o+]c2cc(cc(c2c1)O)O)-c1ccc(cc1)O
[Cl-].c1([o+]c2cc(O)cc(c2cc1O)O)-c1ccc(cc1)O
[Cl-].c1([o+]c2cc(O)cc(O)c2cc1O)-c1ccc(cc1)O
C(O)(C(CO)=O)=O
OC(C(CO)=O)=O
O=C(C(=O)O)CO
c1nc(N)c2c(n1)n(cn2)C1C2C(C(CO)O1)OP(O)(O2)=O
c1nc2c(ncnc2n1C1C2OP(O)(OC2C(O1)CO)=O)N
c12c(n(C3C4OP(=O)(O)OC4C(O3)CO)cn2)ncnc1N
c1(c(c2OC(CCc2cc1O)(C)CCC(=O)O)C)C
C1c2cc(O)c(c(c2OC(CCC(O)=O)(C)C1)C)C
O=C(CCC1(C)Oc2c(C)c(c(cc2CC1)O)C)O
C(CCc1cc(c(cc1)O)OC)(=O)CC(CCc1ccc(O)c(c1)OC)=O
Oc1ccc(CCC(CC(=O)CCc2cc(c(O)cc2)OC)=O)cc1OC
O(C)c1cc(CCC(CC(CCc2cc(OC)c(O)cc2)=O)=O)ccc1O
O=C(NC(CCC(O)=O)C(=O)O)C
N(C(CCC(=O)O)C(O)=O)C(C)=O
N(C(=O)C)C(CCC(O)=O)C(=O)O
C(N)(Cc1cnc[nH]1)CO
C(Cc1cnc[nH]1)(CO)N
c1ncc([nH]1)CC(CO)N
C1CCN(C(=O)C2N(C(C(N)CCCN=C(N)N)=O)CCC2)C1C(NCC(NC(Cc1ccccc1)C(=O)NC(CO)C(N1C(C(=O)NC(C(=O)NC(CCCN=C(N)N)C(O)=O)Cc2ccccc2)CCC1)=O)=O)=O
N1(C(C(NC(C(NC(=O)CNC(=O)C2CCCN2C(C2CCCN2C(C(N)CCCN=C(N)N)=O)=O)Cc2ccccc2)=O)CO)=O)CCCC1C(=O)NC(C(NC(C(=O)O)CCCN=C(N)N)=O)Cc1ccccc1
c1(CC(NC(CNC(=O)C2CCCN2C(=O)C2CCCN2C(=O)C(CCCN=C(N)N)N)=O)C(=O)NC(CO)C(N2C(CCC2)C(NC(C(=O)NC(C(=O)O)CCCN=C(N)N)Cc2ccccc2)=O)=O)ccccc1
n1c2[nH]c([nH]c2c(=O)[nH]c1N)=O
[nH]1c([nH]c2nc(N)[nH]c(=O)c21)=O
O=c1c2c([nH]c(=O)[nH]2)nc(N)[nH]1
C1C=NC(=O)N=1
N1C(N=CC=1)=O
N1=CC=NC1=O
N1C(=O)CCC1
C1CNC(C1)=O
N1C(CCC1)=O
C(=O)(CCC(C(O)=O)=O)O
O=C(CCC(=O)O)C(O)=O
C(O)(C(CCC(=O)O)=O)=O
OCC(O)C(O)=O
OC(C(CO)O)=O
OC(C(O)=O)CO
NCC(=O)O
OC(CN)=O
O=C(O)CN
c1(cc(c(NC(=O)c2ccccc2NS(=O)(=O)c2sccc2)cc1)OC)OC
c1(cccs1)S(=O)(=O)Nc1ccccc1C(=O)Nc1ccc(OC)cc1OC
O(C)c1c(NC(=O)c2ccccc2NS(c2sccc2)(=O)=O)ccc(c1)OC
C(c1cnnn1-c1ccc(NS(=O)(c2cc(c(cc2)Cl)[N+]([O-])=O)=O)cc1)(F)(F)F
c1(ccc(cc1)-n1nncc1C(F)(F)F)NS(c1cc(c(Cl)cc1)[N+](=O)[O-])(=O)=O
c1c(ccc(-n2c(C(F)(F)F)cnn2)c1)NS(=O)(=O)c1ccc(Cl)c([N+]([O-])=O)c1
c1(c(cccc1)CN(C)C(=O)Cc1csc(n1)-c1ccccc1)OC
C(=O)(Cc1csc(n1)-c1ccccc1)N(C)Cc1c(OC)cccc1
c1cc(CN(C(=O)Cc2nc(-c3ccccc3)sc2)C)c(OC)cc1
C1N(C(COc2ccc(cc2)C(=O)C)=O)C(C2SCCC2)C2CCSC=2C1
c1cc(C(C)=O)ccc1OCC(N1CCC2=C(CCS2)C1C1SCCC1)=O
C1CCSC1C1C2=C(CCN1C(COc1ccc(C(=O)C)cc1)=O)SCC2
C1CC(C1)(C(=O)[O-])NC(=O)c2[n-]nnn2
c1ccc2c(c1)C[C@H](N(C2)CC(=O)[O-])C(=O)[O-]
c1cn(c(nc1=O)[O-])C[C@H](C(=O)[O-])N
C1CO[C@@H](CN1[C@@H]2CC(=NC2=O)[O-])CC(=O)[O-]
c1cc(c(nc1)S(=O)(=O)[O-])C(=O)[O-]
C=CCCCCCCCCCCCCBr
C[C@@H]1CC[C@@H](C[C@@H]1C)OCCCCCCCCCBr
c1ccc2cc(ccc2c1)OCCCCCCCCCS
C[C@H](CCOP(=O)([O-])OCC[C@H](C)CC(C)(C)C)CC(C)(C)C
C=CCCCCC[C@]12CCCC[C@](S1(=O)=O)(CC2)CCCCC=C
c1cc(c(cc1NC(=O)c2cn[n-]n2)F)[O-]
Cc1ccc2c(c1)c(=O)c(c([nH]2)[O-])C(=O)[O-]
c1cc(nc2c1nc(nc2[O-])N)C(=O)[O-]
C[C@@H]1C(=C(N2C(=N1)N=C[N-]2)[O-])SC#N
c1cc(ncc1C(=O)[O-])NCC2CC(C2)[O-]
C[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1CCC[C@@H]1C(=O)[O-])NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CO)NC(=O)[C@@H](CC(=O)O)NC(=O)CNC(=O)[C@@H](CCCNC(=[NH2+])N)[NH3+]
