SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_glide_XP_ClBr,r_glide_XP_Electro,r_glide_XP_GScore,r_glide_XP_HBond,i_glide_XP_impact_version,r_glide_XP_LipophilicEvdW,r_glide_XP_LowMW,r_glide_XP_Penalties,r_glide_XP_HBPenal,r_glide_XP_ExposPenal,r_glide_XP_RotPenal,r_glide_XP_PhobEn,r_glide_XP_PhobEnHB,r_glide_XP_PhobEnPairHB,r_glide_XP_PiCat,r_glide_XP_PiStack,i_glide_XP_PoseRank,r_glide_XP_Sitemap,r_glide_XP_Zpotr,r_i_glide_gscore,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_energy,r_i_glide_einternal,r_i_glide_emodel
O=C[C@@H](O)C(=O)[O-],ZINC000000895513,112,Done,22.36,-10.3549,glide-grid_8F76,,,-10.3549,-1.73115,,,,,,,,,,,,,1,,,-10.3549,-10.365,-11.5733,-21.9383,1.22808,-25.0553
O=C([O-])[C@]12C[C@H]1C2,ZINC000059468082,84,Done,9.2,-10.3544,glide-grid_8F76,,,-10.3544,-2.12724,,,,,,,,,,,,,1,,,-10.3544,-7.62343,-11.0538,-18.6772,0.468861,-21.3122
C[C@H]1[C@@H](C(=O)[O-])C1(F)F,ZINC000068577133,115,Done,10.24,-10.3529,glide-grid_8F76,,,-10.3529,-1.78213,,,,,,,,,,,,,1,,,-10.3529,-2.01631,-12.8712,-14.8875,0.0147357,1.24365
C[C@H](O)C(=O)C(=O)[O-],ZINC000006020021,114,Done,19.34,-10.3526,glide-grid_8F76,,,-10.3526,-1.63964,,,,,,,,,,,,,1,,,-10.3526,-8.15495,-13.5434,-21.6983,3.77001,-21.5684
C#Cc1ccc(C(=O)[O-])o1,ZINC000085385863,116,Done,12.08,-10.3466,glide-grid_8F76,,,-10.3466,-2.17538,,,,,,,,,,,,,1,,,-10.3466,-4.23684,-12.2843,-16.5212,3.5364,-9.35599
CC(F)(F)CC(=O)[O-],ZINC000082088685,117,Done,12.51,-10.3422,glide-grid_8F76,,,-10.3422,-2.18079,,,,,,,,,,,,,1,,,-10.3422,-8.62235,-11.4532,-20.0756,1.57905,-22.9617
O=C([O-])[C@H]1CCO1,ZINC000016083112,120,Done,9.79,-10.3403,glide-grid_8F76,,,-10.3403,-2.08292,,,,,,,,,,,,,1,,,-10.3403,-10.2757,-12.1398,-22.4155,1.12132,-27.0304
O=C([O-])[C@H]1C=CCO1,ZINC000012649722,118,Done,11.86,-10.339,glide-grid_8F76,,,-10.339,-2.06886,,,,,,,,,,,,,1,,,-10.339,-7.34343,-12.5728,-19.9163,0.816279,-12.911
O=C([O-])c1ncco1,ZINC000002527143,85,Done,8.89,-10.3377,glide-grid_8F76,,,-10.3377,-2.16327,,,,,,,,,,,,,1,,,-10.3377,-10.226,-11.7341,-21.9601,3.40739,-25.9908
O=C([O-])[C@@H]1CCNO1,ZINC000033903078,113,Done,13,-10.3375,glide-grid_8F76,,,-10.3529,-2.18471,,,,,,,,,,,,,1,,,-10.3529,-7.77059,-11.4374,-19.208,0.723071,-21.0746
O=C([O-])C1(CF)CC1,ZINC000107114470,119,Done,18.25,-10.3365,glide-grid_8F76,,,-10.3365,-2.10177,,,,,,,,,,,,,1,,,-10.3365,-8.08219,-10.892,-18.9742,5.44558,-16.9216
O=C([O-])[C@H](F)C1COC1,ZINC000257813525,121,Done,18.04,-10.3329,glide-grid_8F76,,,-10.3329,-1.23112,,,,,,,,,,,,,1,,,-10.3329,-6.21903,-10.9163,-17.1353,2.16182,-11.3056
C[C@H](O)[C@@H](F)C(=O)[O-],ZINC000002000449,122,Done,15.79,-10.3329,glide-grid_8F76,,,-10.3329,-1.47358,,,,,,,,,,,,,1,,,-10.3329,-7.53524,-12.669,-20.2043,4.17729,-21.7935
O=C([O-])[C@@H](O)CS,ZINC000000968221,123,Done,28.22,-10.3319,glide-grid_8F76,,,-10.3319,-3.226,,,,,,,,,,,,,1,,,-10.3319,-7.83713,-13.038,-20.8751,2.3808,-22.9956
O=C([O-])[C@H](O)C(F)F,ZINC000034016749,124,Done,23.69,-10.3306,glide-grid_8F76,,,-10.3306,-2.60791,,,,,,,,,,,,,1,,,-10.3306,-8.60256,-11.4516,-20.0542,5.15458,-20.074
O=C([O-])[C@H]1CC1(F)F,ZINC000002527752,126,Done,9.08,-10.3296,glide-grid_8F76,,,-10.3296,-2.16565,,,,,,,,,,,,,1,,,-10.3296,-7.65796,-11.2331,-18.8911,0.234861,-23.1286
O=C([O-])c1ccc[nH]1,ZINC000000158648,125,Done,9.28,-10.3284,glide-grid_8F76,,,-10.3284,-2.22117,,,,,,,,,,,,,1,,,-10.3284,-8.28249,-10.6344,-18.9169,3.24439,-21.5798
O=C[C@H](F)C(=O)[O-],ZINC000034214541,127,Done,9.79,-10.3273,glide-grid_8F76,,,-10.3273,-2.15693,,,,,,,,,,,,,1,,,-10.3273,-11.3371,-12.1569,-23.4941,0.541688,-29.029
O=C([O-])c1ccsn1,ZINC000012958089,132,Done,8.64,-10.3218,glide-grid_8F76,,,-10.3218,-2.15165,,,,,,,,,,,,,1,,,-10.3218,-5.3203,-12.0656,-17.3859,2.91845,-11.1045
O=C([O-])c1c[nH]c(Cl)n1,ZINC000081112905,129,Done,5.95,-10.3207,glide-grid_8F76,,,-10.3207,-2.22688,,,,,,,,,,,,,1,,,-10.3207,-11.6643,-11.9414,-23.6057,3.08847,-25.9086
C[C@@H](O)C(=O)C(=O)[O-],ZINC000006032433,133,Done,18.19,-10.3201,glide-grid_8F76,,,-10.3201,-0.534808,,,,,,,,,,,,,1,,,-10.3201,-6.69116,-13.5978,-20.289,2.07214,-18.702
O=C1CC[C@H](C(=O)[O-])O1,ZINC000004262240,134,Done,16.64,-10.317,glide-grid_8F76,,,-10.317,-0.955928,,,,,,,,,,,,,1,,,-10.317,-5.36254,-12.7429,-18.1055,1.15761,-7.40636
O=C([O-])CC(F)F,ZINC000037755958,135,Done,10.71,-10.3162,glide-grid_8F76,,,-10.3162,-2.13356,,,,,,,,,,,,,1,,,-10.3162,-9.69934,-11.2619,-20.9613,3.512,-24.4698
CC(=O)CC(=O)[O-],ZINC000000895089,137,Done,15.08,-10.3124,glide-grid_8F76,,,-10.3124,-1.13147,,,,,,,,,,,,,1,,,-10.3124,-9.80111,-12.592,-22.3931,0.755381,-27.2829
O=C([O-])[C@@H]1CCOC1,ZINC000004529613,139,Done,13.7,-10.3101,glide-grid_8F76,,,-10.3101,-2.10656,,,,,,,,,,,,,1,,,-10.3101,-8.24314,-10.8865,-19.1297,0.839116,-13.6421
O=C([O-])[C@H]1CC[C@@H](F)C1,ZINC000076573107,138,Done,10.4,-10.3073,glide-grid_8F76,,,-10.3073,-2.08712,,,,,,,,,,,,,1,,,-10.3073,-2.24074,-11.3926,-13.6334,0.208035,-1.09604
O=C([O-])[C@@H](O)CC(F)(F)F,ZINC000036455793,141,Done,19.86,-10.307,glide-grid_8F76,,,-10.307,-2.72916,,,,,,,,,,,,,1,,,-10.307,1.71926,-16.5278,-14.8086,3.57136,-3.41267
O=C1CC(C(=O)[O-])=NN1,ZINC000019702352,111,Done,5.27,-10.3042,glide-grid_8F76,,,-10.3042,-2.06368,,,,,,,,,,,,,1,,,-10.3042,-10.36,-13.148,-23.508,1.46556,-27.3486
C[C@@H]1O[C@H]1C(=O)[O-],ZINC000034621525,143,Done,9.61,-10.2942,glide-grid_8F76,,,-10.2942,-1.89918,,,,,,,,,,,,,1,,,-10.2942,-8.6576,-13.497,-22.1546,0.603381,-23.0459
O=C([O-])[C@@H](O)[C@H](O)C(F)F,ZINC000256050989,144,Done,55.53,-10.2928,glide-grid_8F76,,,-10.2928,-1.00159,,,,,,,,,,,,,1,,,-10.2928,4.85747,-15.5861,-10.7286,10.0627,-9.67479
CCC(=O)C(=O)[O-],ZINC000001532540,146,Done,10.96,-10.2873,glide-grid_8F76,,,-10.2873,-2.14754,,,,,,,,,,,,,1,,,-10.2873,-10.9451,-12.1978,-23.1429,0.3201,-29.8933
CCC(=O)C(=O)[O-],ZINC000024943387,147,Done,10.94,-10.2873,glide-grid_8F76,,,-10.2873,-2.14754,,,,,,,,,,,,,1,,,-10.2873,-10.9451,-12.1978,-23.1429,0.3201,-29.8933
CC(C)[C@H](F)C(=O)[O-],ZINC000002039424,148,Done,13.56,-10.2854,glide-grid_8F76,,,-10.2854,-2.19057,,,,,,,,,,,,,1,,,-10.2854,-8.3416,-12.659,-21.0006,7.20376,-13.0203
Cc1noc(C(=O)[O-])n1,ZINC000028948638,150,Done,8.64,-10.2832,glide-grid_8F76,,,-10.2832,-2.17523,,,,,,,,,,,,,1,,,-10.2832,-7.67322,-11.917,-19.5902,2.59358,-15.0953
O=C([O-])C1=CCCO1,ZINC000071606170,31,Done,9.71,-10.2827,glide-grid_8F76,,,-10.2827,-2.02991,,,,,,,,,,,,,1,,,-10.2827,-12.1415,-8.76845,-20.91,1.73926,-17.7385
CC1(C)O[C@H]1C(=O)[O-],ZINC000001714049,151,Done,10.05,-10.2818,glide-grid_8F76,,,-10.2818,-1.87618,,,,,,,,,,,,,1,,,-10.2818,-7.31357,-9.95721,-17.2708,0.00912588,-14.0194
CC[C@H](C)C(=O)[O-],ZINC000000391203,152,Done,13.12,-10.2762,glide-grid_8F76,,,-10.2762,-2.16311,,,,,,,,,,,,,1,,,-10.2762,-10.2752,-10.8607,-21.1359,4.46973,-19.5082
C=C[C@H](O)CC(=O)[O-],ZINC000005157964,275,Done,34.29,-10.2752,glide-grid_8F76,,,-10.2752,-2.6717,,,,,,,,,,,,,1,,,-10.2752,-6.79145,-12.4553,-19.2468,2.29215,-20.7843
O=C([O-])[C@H]1C[C@@H]1C(F)F,ZINC000104721608,153,Done,12.94,-10.2747,glide-grid_8F76,,,-10.2747,-2.16076,,,,,,,,,,,,,1,,,-10.2747,-8.19308,-11.8514,-20.0445,0.923175,-24.1991
C[C@@H]1CC[C@@H]1C(=O)[O-],ZINC000039424471,154,Done,11.84,-10.2728,glide-grid_8F76,,,-10.2728,-2.17509,,,,,,,,,,,,,1,,,-10.2728,-6.71615,-10.6743,-17.3904,0.720969,-5.96342
O=C([O-])C1CC1,ZINC000001587860,157,Done,10.85,-10.2692,glide-grid_8F76,,,-10.2692,-2.14782,,,,,,,,,,,,,1,,,-10.2692,-8.66826,-11.3236,-19.9918,0.319411,-22.4471
O=C([O-])[C@@H](O)CCO,ZINC000002559503,188,Done,37.33,-10.2691,glide-grid_8F76,,,-10.2691,-3.07263,,,,,,,,,,,,,1,,,-10.2691,-2.29154,-12.8197,-15.1113,3.78334,-17.6296
O=C([O-])c1ccno1,ZINC000002530966,160,Done,8.97,-10.2682,glide-grid_8F76,,,-10.2682,-2.05266,,,,,,,,,,,,,1,,,-10.2682,-10.8614,-12.1479,-23.0093,0.000759391,-29.5041
O=C([O-])[C@H]1CC1(Cl)Cl,ZINC000001774498,155,Done,8.49,-10.267,glide-grid_8F76,,,-10.267,-1.84136,,,,,,,,,,,,,1,,,-10.267,-8.40514,-10.4232,-18.8283,0.302047,-6.79083
O=C([O-])C1OCCO1,ZINC000005600049,140,Done,13.11,-10.266,glide-grid_8F76,,,-10.266,-2.13106,,,,,,,,,,,,,1,,,-10.266,-11.9601,-13.0572,-25.0173,0.104447,-26.4126
C[C@@H](O)CC(=O)[O-],ZINC000000895486,166,Done,17.06,-10.266,glide-grid_8F76,,,-10.266,-2.56579,,,,,,,,,,,,,1,,,-10.266,-10.3308,-11.1801,-21.5108,0,-23.737
O=C([O-])[C@@H]1C[C@H]1F,ZINC000034268625,161,Done,8.94,-10.2648,glide-grid_8F76,,,-10.2648,-1.95775,,,,,,,,,,,,,1,,,-10.2648,-8.46177,-11.4827,-19.9444,0.33672,-24.1363
O=C([O-])C[C@@H]1CC1(F)F,ZINC000034301710,162,Done,18.38,-10.2648,glide-grid_8F76,,,-10.2648,-1.88718,,,,,,,,,,,,,1,,,-10.2648,-7.20239,-10.3902,-17.5926,0.731103,-15.817
C[C@H](CC#N)C(=O)[O-],ZINC000049804382,163,Done,11.84,-10.2624,glide-grid_8F76,,,-10.2624,-1.64987,,,,,,,,,,,,,1,,,-10.2624,-2.92219,-10.2208,-13.143,0.749025,-16.8004
O=C([O-])c1sccc1F,ZINC000000334390,145,Done,9.2,-10.262,glide-grid_8F76,,,-10.262,-2.3303,,,,,,,,,,,,,1,,,-10.262,7.16027,-12.7152,-5.55496,2.33087,0.418825
O=C([O-])c1coc(Br)c1,ZINC000008700555,169,Done,7.6,-10.2602,glide-grid_8F76,,,-10.2602,-2.26675,,,,,,,,,,,,,1,,,-10.2602,7.3598,-10.9165,-3.55669,2.67026,-4.28113
N#CCCCC(=O)[O-],ZINC000002007528,164,Done,21.67,-10.2594,glide-grid_8F76,,,-10.2594,-2.7545,,,,,,,,,,,,,1,,,-10.2594,-3.72642,-13.1332,-16.8596,3.94091,-15.2654
C=C1C[C@@H]1C(=O)[O-],ZINC000026544723,168,Done,9.67,-10.255,glide-grid_8F76,,,-10.255,-2.10828,,,,,,,,,,,,,1,,,-10.255,-5.83399,-11.9376,-17.7716,0.0255921,-14.8571
O=C([O-])CC1COC1,ZINC000072267133,273,Done,18.07,-10.2518,glide-grid_8F76,,,-10.2518,-1.18475,,,,,,,,,,,,,1,,,-10.2518,-3.35475,-10.3699,-13.7246,2.55227,-9.26545
O=C([O-])CCS,ZINC000003860582,170,Done,22,-10.2472,glide-grid_8F76,,,-10.2472,-2.45847,,,,,,,,,,,,,1,,,-10.2472,-7.78457,-11.7472,-19.5318,2.6386,-17.9139
N#C[C@H]1C[C@@H]1C(=O)[O-],ZINC000118355465,171,Done,10.74,-10.2452,glide-grid_8F76,,,-10.2452,-2.16218,,,,,,,,,,,,,1,,,-10.2452,-4.61564,-11.8245,-16.4402,0.449771,-19.7238
O=C([O-])c1ccc(Cl)o1,ZINC000000400042,142,Done,10.78,-10.2424,glide-grid_8F76,,,-10.2424,-2.3415,,,,,,,,,,,,,1,,,-10.2424,7.58461,-11.3493,-3.76473,4.02285,-2.08525
O=C([O-])c1cc(Cl)on1,ZINC000045928990,174,Done,7.62,-10.2404,glide-grid_8F76,,,-10.2404,-2.16054,,,,,,,,,,,,,1,,,-10.2404,0.469344,-11.5877,-11.1184,3.06138,-13.6532
O=C([O-])C1(F)CC1,ZINC000033961344,175,Done,9.14,-10.2378,glide-grid_8F76,,,-10.2378,-1.97184,,,,,,,,,,,,,1,,,-10.2378,-5.19387,-11.4506,-16.6445,0.0247563,-18.944
N[C@H](C(=O)[O-])C(F)(F)F,ZINC000002242761,128,Done,12.21,-10.2357,glide-grid_8F76,,,-10.327,-2.14953,,,,,,,,,,,,,1,,,-10.327,-3.67216,-10.6741,-14.3462,1.26588,-10.0714
O=C([O-])CC(F)(F)C(F)F,ZINC000020518660,178,Done,16.19,-10.2328,glide-grid_8F76,,,-10.2328,-2.16629,,,,,,,,,,,,,1,,,-10.2328,-6.55928,-11.1779,-17.7372,1.91703,-19.809
O=C([O-])CCF,ZINC000002040576,179,Done,10.94,-10.2324,glide-grid_8F76,,,-10.2324,-2.17728,,,,,,,,,,,,,1,,,-10.2324,-9.62318,-10.594,-20.2172,0.718477,-24.7052
O=C([O-])C1=CCCOC1,ZINC000034354022,180,Done,12.34,-10.2319,glide-grid_8F76,,,-10.2319,-1.90485,,,,,,,,,,,,,1,,,-10.2319,2.64615,-10.085,-7.43884,0.63378,7.05177
O=C1C=C[C@H](C(=O)[O-])O1,ZINC000101801596,182,Done,13.28,-10.2315,glide-grid_8F76,,,-10.2315,-0.50463,,,,,,,,,,,,,1,,,-10.2315,-4.31967,-12.31,-16.6296,0.39848,-5.81067
O=C1C=C[C@H](C(=O)[O-])O1,ZINC000101801600,183,Done,13.28,-10.2315,glide-grid_8F76,,,-10.2315,-0.50463,,,,,,,,,,,,,1,,,-10.2315,-4.31967,-12.31,-16.6296,0.39848,-5.81067
O=C([O-])c1ncon1,ZINC000020357828,214,Done,8.18,-10.2312,glide-grid_8F76,,,-10.2312,-2.20806,,,,,,,,,,,,,1,,,-10.2312,-13.4822,-12.8137,-26.2959,3.69628,-30.8
C[C@@H]1C[C@@H]1C(=O)[O-],ZINC000001766073,177,Done,10.11,-10.2308,glide-grid_8F76,,,-10.2308,-2.00044,,,,,,,,,,,,,1,,,-10.2308,-8.7314,-10.6463,-19.3777,0.149512,-21.4898
O=C([O-])c1cc(F)[nH]n1,ZINC000307076819,184,Done,6.83,-10.2308,glide-grid_8F76,,,-10.2308,-2.0367,,,,,,,,,,,,,1,,,-10.2308,-10.7854,-12.098,-22.8835,3.19602,-27.3058
Cc1nc(C(=O)[O-])no1,ZINC000020357823,167,Done,8.72,-10.2301,glide-grid_8F76,,,-10.2301,-2.08776,,,,,,,,,,,,,1,,,-10.2301,-8.97732,-12.5621,-21.5394,2.19406,-19.8722
O=C([O-])c1cnsc1,ZINC000013534103,185,Done,7.13,-10.2292,glide-grid_8F76,,,-10.2292,-2.11742,,,,,,,,,,,,,1,,,-10.2292,-7.12586,-10.9911,-18.1169,3.2577,-18.5903
O=C([O-])[C@@H](F)CO,ZINC000038522511,186,Done,14.98,-10.2263,glide-grid_8F76,,,-10.2263,-1.25122,,,,,,,,,,,,,1,,,-10.2263,-10.6274,-12.2261,-22.8535,1.33583,-26.4591
O=C([O-])C1C=CC=C1,ZINC000005133143,187,Done,10.06,-10.2244,glide-grid_8F76,,,-10.2244,-2.07543,,,,,,,,,,,,,1,,,-10.2244,-5.18752,-11.6767,-16.8642,0.0659805,-12.319
O=C([O-])C1=NSCC1=O,ZINC000039065762,198,Done,5.03,-10.2231,glide-grid_8F76,,,-10.2231,-2.24842,,,,,,,,,,,,,1,,,-10.2231,-3.26292,-13.3974,-16.6604,4.8868,-0.388426
O=C([O-])[C@H]1CCNO1,ZINC000033903079,176,Done,13.14,-10.2223,glide-grid_8F76,,,-10.2377,-2.06973,,,,,,,,,,,,,1,,,-10.2377,-10.7547,-12.5761,-23.3309,0.731881,-19.8495
CC[C@H](S)C(=O)[O-],ZINC000035803364,190,Done,19.23,-10.2205,glide-grid_8F76,,,-10.2205,-2.21769,,,,,,,,,,,,,1,,,-10.2205,-6.35606,-11.0908,-17.4468,0.412225,-15.6136
CC(F)(F)[C@@H](F)C(=O)[O-],ZINC000116899678,191,Done,12.39,-10.2201,glide-grid_8F76,,,-10.2201,-1.96405,,,,,,,,,,,,,1,,,-10.2201,-8.5577,-11.1257,-19.6834,2.17702,-20.5889
CCC[C@H](F)C(=O)[O-],ZINC000005837497,192,Done,14.88,-10.218,glide-grid_8F76,,,-10.218,-2.05472,,,,,,,,,,,,,1,,,-10.218,-7.07753,-11.6257,-18.7033,8.97524,-16.5664
O=C([O-])C(=O)C(=O)[O-],ZINC000001532759,193,Done,7.46,-10.2178,glide-grid_8F76,,,-10.2178,-2.20146,,,,,,,,,,,,,1,,,-10.2178,-9.16901,-13.2577,-22.4267,0.839983,-29.0806
O=C([O-])c1n[nH]cc1F,ZINC000095870698,194,Done,9.1,-10.2175,glide-grid_8F76,,,-10.2175,-2.15627,,,,,,,,,,,,,1,,,-10.2175,-8.18634,-12.6335,-20.8199,3.43814,-24.6496
O=C([O-])[C@@H]1CC=CCO1,ZINC000034235951,196,Done,12.36,-10.2162,glide-grid_8F76,,,-10.2162,-1.89786,,,,,,,,,,,,,1,,,-10.2162,3.24524,-12.5758,-9.33053,0.235612,6.603
O=C([O-])[C@@H]1CCCS1,ZINC000000900767,195,Done,12.8,-10.2161,glide-grid_8F76,,,-10.2161,-2.16044,,,,,,,,,,,,,1,,,-10.2161,-0.804607,-12.5021,-13.3067,0.763989,-3.07973
O=C([O-])C[C@@H]1CCO1,ZINC000076570708,197,Done,16.86,-10.2156,glide-grid_8F76,,,-10.2156,-2.11778,,,,,,,,,,,,,1,,,-10.2156,-3.43434,-11.3824,-14.8168,1.76254,-11.2625
O=C([O-])c1cc[nH]c1,ZINC000002570110,149,Done,9.32,-10.2145,glide-grid_8F76,,,-10.2252,-1.95676,,,,,,,,,,,,,1,,,-10.2252,-10.1673,-11.0462,-21.2135,3.12504,-22.8448
O=C([O-])C1=CCCC1,ZINC000001677125,200,Done,9.74,-10.2065,glide-grid_8F76,,,-10.2065,-2.0737,,,,,,,,,,,,,1,,,-10.2065,-9.3523,-8.63188,-17.9842,0.172262,-2.17174
CC(C)C(F)(F)C(=O)[O-],ZINC000031829503,201,Done,13.75,-10.2045,glide-grid_8F76,,,-10.2045,-1.85434,,,,,,,,,,,,,1,,,-10.2045,-5.29488,-9.56358,-14.8585,9.71322,0.967413
O=C([O-])[C@H]1CNC1=O,ZINC000106843862,202,Done,7.36,-10.2044,glide-grid_8F76,,,-10.2044,-2.15363,,,,,,,,,,,,,1,,,-10.2044,-2.02088,-13.8961,-15.917,0.646787,-19.6728
C#C[C@@H]1C[C@H]1C(=O)[O-],ZINC000039244970,203,Done,11.99,-10.2039,glide-grid_8F76,,,-10.2039,-1.44398,,,,,,,,,,,,,1,,,-10.2039,-8.01646,-10.5062,-18.5226,0.711282,-10.548
O=C([O-])[C@@H]1CCC[C@H]1O,ZINC000032219641,204,Done,17.69,-10.2038,glide-grid_8F76,,,-10.2038,-2.63543,,,,,,,,,,,,,1,,,-10.2038,5.47702,-12.2225,-6.74548,0.0841715,5.33485
O=C([O-])C(F)(F)C(F)(F)C(F)F,ZINC000002096147,344,Done,17.9,-10.2027,glide-grid_8F76,,,-10.2027,-1.84003,,,,,,,,,,,,,1,,,-10.2027,-2.26594,-11.6399,-13.9058,10.7803,-5.99531
O=C([O-])[C@@H]1C=CCC1,ZINC000005134421,205,Done,12.68,-10.2023,glide-grid_8F76,,,-10.2023,-1.91112,,,,,,,,,,,,,1,,,-10.2023,-2.82673,-11.6856,-14.5123,1.18145,-6.51872
O=C([O-])c1ncccc1F,ZINC000002598969,368,Done,9.06,-10.2012,glide-grid_8F76,,,-10.2012,-2.26268,,,,,,,,,,,,,1,,,-10.2012,9.49008,-13.5081,-4.01801,2.09514,8.27521
O=C([O-])[C@@H]1C[C@]1(F)Br,ZINC000137237026,206,Done,10.55,-10.201,glide-grid_8F76,,,-10.201,-2.11902,,,,,,,,,,,,,1,,,-10.201,-4.03688,-12.4828,-16.5196,2.93723,-6.85261
CO[C@H](F)C(=O)[O-],ZINC000086241645,207,Done,11.23,-10.1979,glide-grid_8F76,,,-10.1979,-2.13819,,,,,,,,,,,,,1,,,-10.1979,-10.9854,-11.7951,-22.7804,1.91891,-27.1091
Cn1ccc(C(=O)[O-])c1,ZINC000034327586,199,Done,9.4,-10.1972,glide-grid_8F76,,,-10.2092,-2.24029,,,,,,,,,,,,,1,,,-10.2092,-2.78863,-11.2582,-14.0469,2.55109,-9.00232
C[C@H]1C[C@H](C(=O)[O-])C1,ZINC000100060804,208,Done,12.08,-10.1969,glide-grid_8F76,,,-10.1969,-1.9453,,,,,,,,,,,,,1,,,-10.1969,-7.49132,-11.8235,-19.3148,0.594449,-16.4075
O=C([O-])[C@H]1C[C@H]1C(F)F,ZINC000104721613,189,Done,12.4,-10.1923,glide-grid_8F76,,,-10.1923,-2.1141,,,,,,,,,,,,,1,,,-10.1923,-5.21244,-12.8269,-18.0394,0.302586,-20.8478
O=C([O-])[C@@H]1COCCO1,ZINC000020446293,211,Done,12.49,-10.1916,glide-grid_8F76,,,-10.1916,-1.8983,,,,,,,,,,,,,1,,,-10.1916,-1.95421,-12.4604,-14.4146,0.222179,-6.47783
CC[C@@H](O)CC(=O)[O-],ZINC000004975461,212,Done,24.31,-10.1885,glide-grid_8F76,,,-10.1885,-2.32019,,,,,,,,,,,,,1,,,-10.1885,2.25418,-12.3291,-10.0749,5.71802,-11.4416
C[C@]1(O)C[C@H](C(=O)[O-])C1,ZINC000103536474,213,Done,19.89,-10.1869,glide-grid_8F76,,,-10.1869,-2.13058,,,,,,,,,,,,,1,,,-10.1869,-3.54135,-12.7177,-16.2591,0.635736,-11.4944
O=C([O-])c1cccs1,ZINC000000157468,215,Done,8.67,-10.1838,glide-grid_8F76,,,-10.1838,-2.18435,,,,,,,,,,,,,1,,,-10.1838,-4.18957,-12.2515,-16.441,1.6977,-13.0499
CC(C)[C@@H](F)C(=O)[O-],ZINC000001736843,216,Done,13.5,-10.1813,glide-grid_8F76,,,-10.1813,-2.15359,,,,,,,,,,,,,1,,,-10.1813,-8.78483,-10.676,-19.4608,7.47189,-16.9923
O=C([O-])C(F)(F)C(F)(F)Cl,ZINC000004015773,219,Done,10.81,-10.1775,glide-grid_8F76,,,-10.1775,-2.11089,,,,,,,,,,,,,1,,,-10.1775,-3.96496,-10.5497,-14.5147,1.25233,-12.1936
CCC(F)(F)[C@H](F)C(=O)[O-],ZINC000116895814,221,Done,14.71,-10.1772,glide-grid_8F76,,,-10.1772,-2.01224,,,,,,,,,,,,,1,,,-10.1772,-2.88487,-11.7039,-14.5888,3.93866,-6.18679
C[C@@H]1CC[C@H]1C(=O)[O-],ZINC000039424472,222,Done,12.68,-10.177,glide-grid_8F76,,,-10.177,-2.08176,,,,,,,,,,,,,1,,,-10.177,-0.813742,-12.1533,-12.9671,0.591659,-8.2205
O=C([O-])c1cc(F)n[nH]1,ZINC000307076819,1,Done,7.09,-10.1751,glide-grid_8F76,,,-10.1751,-2.05442,,,,,,,,,,,,,1,,,-10.1751,-10.5938,-11.3534,-21.9472,3.92822,-25.5199
CC[S@@](=O)CC(=O)[O-],ZINC000019092569,224,Done,16.81,-10.1698,glide-grid_8F76,,,-10.1698,-0.35,,,,,,,,,,,,,1,,,-10.1698,-1.60959,-14.047,-15.6566,1.95835,-9.02252
O=C([O-])[C@@H](O)C[N+](=O)[O-],ZINC000004180493,225,Done,26.83,-10.1697,glide-grid_8F76,,,-10.1697,-2.05302,,,,,,,,,,,,,1,,,-10.1697,-4.98994,-15.0923,-20.0823,2.67523,-17.2884
CO[C@H](CC#N)C(=O)[O-],ZINC000104717647,226,Done,15.31,-10.1684,glide-grid_8F76,,,-10.1684,-2.17018,,,,,,,,,,,,,1,,,-10.1684,-3.19792,-11.388,-14.5859,4.74317,-17.736
O=C([O-])C1CC=CC1,ZINC000000396187,227,Done,10.55,-10.1677,glide-grid_8F76,,,-10.1677,-2.10956,,,,,,,,,,,,,1,,,-10.1677,-2.03115,-11.7843,-13.8154,1.72589,-9.20167
O=C([O-])c1cocn1,ZINC000012471803,228,Done,8.66,-10.1644,glide-grid_8F76,,,-10.1644,-1.88217,,,,,,,,,,,,,1,,,-10.1644,-11.9974,-11.7982,-23.7956,2.62774,-28.1096
O=C([O-])C(=O)C(F)(F)F,ZINC000002525296,230,Done,10.42,-10.1573,glide-grid_8F76,,,-10.1573,-2.57482,,,,,,,,,,,,,1,,,-10.1573,-4.69153,-11.4765,-16.168,1.26807,-21.1266
O=C([O-])[C@H](O)CF,ZINC000033505626,231,Done,21.21,-10.1564,glide-grid_8F76,,,-10.1564,-2.33789,,,,,,,,,,,,,1,,,-10.1564,-8.52031,-11.3061,-19.8264,2.6628,-21.9536
C[C@@H](CF)C(=O)[O-],ZINC000104695508,232,Done,10.46,-10.1557,glide-grid_8F76,,,-10.1557,-2.17399,,,,,,,,,,,,,1,,,-10.1557,-7.48071,-10.4474,-17.9281,3.27541,-21.24
O=C([O-])[C@@H](F)CC(F)(F)F,ZINC000138109024,217,Done,13.4,-10.1531,glide-grid_8F76,,,-10.1531,-2.10531,,,,,,,,,,,,,1,,,-10.1531,-6.07971,-11.5665,-17.6462,1.83099,-21.9334
O=C([O-])c1cc(Cl)c[nH]1,ZINC000004218350,233,Done,8.32,-10.1516,glide-grid_8F76,,,-10.1516,-2.34085,,,,,,,,,,,,,1,,,-10.1516,6.01545,-9.96241,-3.94696,3.86582,-3.51792
