iter	Logloss
468	0.1008114328
469	0.1005876521
470	0.1002935114
471	0.09994691046
472	0.09976107725
473	0.09950308536
474	0.09919637287
475	0.09884724696
476	0.09866239367
477	0.098423987
478	0.09811610829
479	0.09787733173
480	0.09778677974
481	0.09760015745
482	0.09750658722
483	0.09726537871
484	0.09697379609
485	0.09671105382
486	0.0963663245
487	0.09610426612
488	0.09580433524
489	0.09553337805
490	0.09527555889
491	0.0951588133
492	0.0948873951
493	0.09471991279
494	0.09443741777
495	0.09414517226
496	0.09396964374
497	0.09371801094
498	0.0935979928
499	0.09334275146
500	0.09309620055
501	0.09292085418
502	0.09267857066
503	0.09241254299
504	0.09222551674
505	0.09191065451
506	0.09161713937
507	0.09143379627
508	0.09118627657
509	0.09087606953
510	0.09069861381
511	0.09049028191
512	0.09026777822
513	0.09010642944
514	0.08993846412
515	0.08969809525
516	0.08959596391
517	0.0893639338
518	0.08921579419
519	0.08895644691
520	0.0886666541
521	0.08851026697
522	0.0882819911
523	0.08815904636
524	0.08799300675
525	0.08775370048
526	0.08755005216
527	0.08731052035
528	0.08711208226
529	0.08691981879
530	0.08679951896
531	0.08653123219
532	0.08629872429
533	0.08608579751
534	0.08583427638
535	0.08560196855
536	0.08536202445
537	0.08514798572
538	0.08500879386
539	0.08482946114
540	0.08460618303
541	0.08443209381
542	0.0842506288
543	0.08407288909
544	0.08387796305
545	0.08375332146
546	0.08353601617
547	0.08329914429
548	0.08316509105
549	0.08295528083
550	0.08273889543
551	0.0825723781
552	0.08243374415
553	0.08227264068
554	0.08211086063
555	0.08190636166
556	0.0817798837
557	0.08160683029
558	0.08142036884
559	0.08121334908
560	0.08100166855
561	0.08079838903
562	0.08063858998
563	0.08046427263
564	0.08026009971
565	0.08007392979
566	0.07991350121
567	0.07973261658
568	0.07957926538
569	0.07933503768
570	0.07912048787
571	0.07899682201
572	0.07873729719
573	0.07854746517
574	0.07836011064
575	0.0782305077
576	0.07806014436
577	0.07781295263
578	0.07769735017
579	0.0775573221
580	0.07744317216
581	0.07726455623
582	0.07709625921
583	0.07687727287
584	0.07675770644
585	0.0766069555
586	0.07646449782
587	0.0762845216
588	0.07605188758
589	0.07590431653
590	0.07573322905
591	0.07558268936
592	0.07543994168
593	0.07523026047
594	0.07510419997
595	0.07495663718
596	0.07481358403
597	0.0746965531
598	0.07452143446
599	0.07428682187
600	0.0740841661
601	0.07395488998
602	0.07382195526
603	0.07366806572
604	0.07349295609
605	0.07335320809
606	0.07321288547
607	0.07293507392
608	0.07273817572
609	0.07253008685
610	0.07237529551
611	0.07222852475
612	0.07200952718
613	0.07190597307
614	0.0717167345
615	0.07159463547
616	0.07141472918
617	0.07130226604
618	0.07117786973
619	0.07096999357
620	0.07079792232
621	0.07062444092
622	0.07049617924
623	0.07031657314
624	0.07015418662
625	0.07003169972
626	0.06985913776
627	0.06970496708
628	0.06951129104
629	0.06932719449
630	0.06912232118
631	0.06896874812
632	0.06881782526
633	0.06873787286
634	0.06856041872
635	0.06843648498
636	0.06832844986
637	0.06809570512
638	0.0679757438
639	0.06782406953
640	0.06765159426
641	0.06748000222
642	0.06736513911
643	0.06723202372
644	0.06708579596
645	0.06694797448
646	0.0667634848
647	0.06659494763
648	0.06649085645
649	0.06633792411
650	0.0662518691
651	0.06610830376
652	0.0659092151
653	0.06577703985
654	0.06562529899
655	0.06548414971
656	0.06535714161
657	0.06522741044
658	0.06508113594
659	0.06492848128
660	0.06479883696
661	0.06459903927
662	0.06444607924
663	0.064310891
664	0.06421910095
665	0.06407444984
666	0.06392325445
667	0.06382221966
668	0.06372485915
669	0.0636168656
670	0.06351547236
671	0.06334326687
672	0.06320772927
673	0.06306538322
674	0.06293923237
675	0.06281292378
676	0.06262235514
677	0.06248766704
678	0.06235970999
679	0.06225211585
680	0.06208385672
681	0.06196102342
682	0.0618138662
683	0.06176952414
684	0.06165951781
685	0.06153735922
686	0.06141697495
687	0.06134711343
688	0.06115767086
689	0.061027653
690	0.0609049574
691	0.06078484425
692	0.0606868766
693	0.06055773869
694	0.06042430168
695	0.06025597092
696	0.06011483669
697	0.06001379416
698	0.05991344018
699	0.0598255855
700	0.05967687045
701	0.05953367476
702	0.05941228702
703	0.05928563529
704	0.05914178089
705	0.05899512878
706	0.05884382744
707	0.05870513652
708	0.05858261306
709	0.05852249741
710	0.05839578609
711	0.05827625911
712	0.05816214986
713	0.05806442235
714	0.05797526812
715	0.05785617255
716	0.05774090183
717	0.0576170737
718	0.05749478027
719	0.05734540957
720	0.05718895876
721	0.05706969043
722	0.05700173975
723	0.05693454973
724	0.05683244411
725	0.05673907763
726	0.0566222386
727	0.05653177004
728	0.05643312233
729	0.05632769574
730	0.05621142709
731	0.05605451029
732	0.0559533819
733	0.05587576696
734	0.05576593325
735	0.05567397252
736	0.05554781368
737	0.05541087083
738	0.05529660177
739	0.05515305321
740	0.055052651
741	0.0549374166
742	0.0548042913
743	0.05470199535
744	0.05459018477
745	0.05447122329
746	0.05437569446
747	0.05428028122
748	0.05418569471
749	0.05409932437
750	0.05401497237
751	0.0538805196
752	0.05380367873
753	0.05370802219
754	0.05360731062
755	0.05349012751
756	0.05336917255
757	0.05327690161
758	0.05319561599
759	0.05311399162
760	0.05298018163
761	0.05283659461
762	0.05275673418
763	0.05266035971
764	0.05253740491
765	0.05243108503
766	0.05233602326
767	0.05222211392
768	0.0521255883
769	0.05205673778
770	0.05195619316
771	0.05185455997
772	0.05174347392
773	0.05162915897
774	0.05153629633
775	0.05142335115
776	0.05134373862
777	0.05126938489
778	0.05114136452
779	0.05105300969
780	0.05095865661
781	0.05089005171
782	0.05079624201
783	0.05071002258
784	0.05060853776
785	0.05052991206
786	0.05044912761
787	0.05036843571
788	0.05027794579
789	0.05020493154
790	0.05010976457
791	0.05000405051
792	0.04990607005
793	0.04979631153
794	0.04970310608
795	0.04962234918
796	0.04951679599
797	0.04943612642
798	0.04935718028
799	0.04927644067
800	0.0491960935
801	0.04909337726
802	0.04898366852
803	0.04886068999
804	0.04879421751
805	0.04869281812
806	0.04859842846
807	0.0485241281
808	0.04842204221
809	0.04829895693
810	0.04819214817
811	0.04812385311
812	0.04800545965
813	0.0479341409
814	0.04781844434
815	0.0477355638
816	0.04768240812
817	0.04760045782
818	0.04750448296
819	0.04738320208
820	0.04729860686
821	0.04720534532
822	0.04710952635
823	0.04702897491
824	0.0469612544
825	0.04686082222
826	0.04676015209
827	0.04666913406
828	0.04659835722
829	0.04648470055
830	0.04643228097
831	0.04633747499
832	0.04628791625
833	0.04622135892
834	0.04612307748
835	0.04602083916
836	0.0459681079
837	0.04590202854
838	0.04584351997
839	0.04579373874
840	0.04567015236
841	0.04559067528
842	0.04550158641
843	0.04542537748
844	0.04534934559
845	0.04529608356
846	0.04523685224
847	0.04514204281
848	0.0450867125
849	0.04502729246
850	0.04493675938
851	0.04486535273
852	0.04477151072
853	0.04470053838
854	0.04461025175
855	0.04453282556
856	0.04444261535
857	0.04435874386
858	0.04427719784
859	0.04418457117
860	0.04410056303
861	0.04401345547
862	0.04392354651
863	0.04384482268
864	0.04376811474
865	0.04369342558
866	0.04360860896
867	0.0435409799
868	0.04347051366
869	0.04337747015
870	0.04328272389
871	0.04321603643
872	0.0431403124
873	0.04304979608
874	0.04297390286
875	0.04291034741
876	0.04284768832
877	0.04277055383
878	0.04268057594
879	0.04263804428
880	0.04257802711
881	0.04248483071
882	0.04240904789
883	0.04239967107
884	0.04233780709
885	0.04227795552
886	0.04221268861
887	0.04214145604
888	0.0420741888
889	0.04198654597
890	0.04190872369
891	0.04183519314
892	0.04173637852
893	0.04165668813
894	0.04160206747
895	0.04152899216
896	0.04144718857
897	0.04135088169
898	0.0412843873
899	0.04120540966
900	0.04113743356
901	0.041088883
902	0.04101063862
903	0.0409407149
904	0.0408552559
905	0.04079509597
906	0.04068262591
907	0.04062770788
908	0.04054659708
909	0.04048930087
910	0.04044858856
911	0.04039440583
912	0.04032580776
913	0.0402424279
914	0.04017469441
915	0.04010546167
916	0.04007213345
917	0.04000407803
918	0.03994537483
919	0.03987742038
920	0.03980734214
921	0.03974739438
922	0.03968732951
923	0.03957279259
924	0.0395228415
925	0.03945368605
926	0.03938222013
927	0.0393238362
928	0.03925464037
929	0.03920907513
930	0.03915266226
931	0.03907718601
932	0.039008236
933	0.0389575906
934	0.03889719998
935	0.03882408296
936	0.0387631938
937	0.0387007291
938	0.03863922418
939	0.03855363673
940	0.03848198612
941	0.03844384703
942	0.03837047026
943	0.03831043023
944	0.0382434539
945	0.03818496702
946	0.03813845871
947	0.03809822121
948	0.03804220387
949	0.0379707559
950	0.03791058674
951	0.03782923063
952	0.03777794052
953	0.03773324013
954	0.03766463547
955	0.03758800713
956	0.03752590939
957	0.03747339576
958	0.03742010618
959	0.03736370885
960	0.03729550405
961	0.03723452859
962	0.03717148843
963	0.0371079834
964	0.03705168352
965	0.03699622197
966	0.03692766302
967	0.03685782922
968	0.03680043521
969	0.03674941847
970	0.03668529275
971	0.03661567883
972	0.03656630353
973	0.03649578529
974	0.03642658432
975	0.03639202724
976	0.03633173115
977	0.03627045195
978	0.0362201908
979	0.03615913949
980	0.03610561672
981	0.03604695994
982	0.03600147318
983	0.03593295676
984	0.03584839194
985	0.03578725437
986	0.03574043602
987	0.03568015765
988	0.03563432516
989	0.03557515431
990	0.03551416659
991	0.03544310845
992	0.03537129678
993	0.03532397221
994	0.03526395289
995	0.03521042228
996	0.03517058072
997	0.0351158633
998	0.03507567672
999	0.03501083424
