C1CC(C1)(C(=O)[O-])NC(=O)c2[n-]nnn2
c1ccc2c(c1)C[C@H](N(C2)CC(=O)[O-])C(=O)[O-]
c1cn(c(nc1=O)[O-])C[C@H](C(=O)[O-])N
C1CO[C@@H](CN1[C@@H]2CC(=NC2=O)[O-])CC(=O)[O-]
c1cc(c(nc1)S(=O)(=O)[O-])C(=O)[O-]
C=CCCCCCCCCCCCCBr
C[C@@H]1CC[C@@H](C[C@@H]1C)OCCCCCCCCCBr
c1ccc2cc(ccc2c1)OCCCCCCCCCS
C[C@H](CCOP(=O)([O-])OCC[C@H](C)CC(C)(C)C)CC(C)(C)C
C=CCCCCC[C@]12CCCC[C@](S1(=O)=O)(CC2)CCCCC=C
c1cc(c(cc1NC(=O)c2cn[n-]n2)F)[O-]
Cc1ccc2c(c1)c(=O)c(c([nH]2)[O-])C(=O)[O-]
c1cc(nc2c1nc(nc2[O-])N)C(=O)[O-]
C[C@@H]1C(=C(N2C(=N1)N=C[N-]2)[O-])SC#N
c1cc(ncc1C(=O)[O-])NCC2CC(C2)[O-]
C[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1CCC[C@@H]1C(=O)[O-])NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CO)NC(=O)[C@@H](CC(=O)O)NC(=O)CNC(=O)[C@@H](CCCNC(=[NH2+])N)[NH3+]
C[C@@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1CCC[C@@H]1C(=O)[O-])NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CO)NC(=O)[C@@H](CC(=O)O)NC(=O)CNC(=O)[C@@H](CCCNC(=[NH2+])N)[NH3+]
c1cc(cc(c1)NC(=O)[C@@H]2CC(=O)N=C3N2C=[NH+][N-]3)C(=O)[O-]
C[C@@H](c1[n-]nnn1)NS(=O)(=O)c2ccnc(c2)N
c1cc(c(cc1[N+](=O)[O-])C#N)NC(=O)/C(=N/c2nc([nH]n2)N)/[O-]
c1c(ncnc1N2CCOCC2)NC(=O)c3c[nH]c(nc3=O)[O-]
c1cc(c(cc1NC(=O)[C@H]2CC=CC[C@H]2C(=O)O)[N+](=O)[O-])S(=O)(=O)[O-]
C1CCC(C1)NS(=O)(=O)[O-]
Cc1c(c(no1)[O-])[C@@H](C)N
[H]/N=C(/C[O-])\OCC
c1nncn1C2CC(C2)[O-]
COC(=O)c1c(n[n-]n1)C#N
c1c(c2c(cc(c(c2nc1C(F)(F)F)F)F)F)NN
c1cc(c(cc1N)F)C(=O)Nc2ccc3c(c2)CCC3
c1cc(c(cc1NC(=O)C2(CCC2)N)Br)Cl
CC1=[NH+][C@@H](C(=[NH2+])N1C(C)(C)C)c2c(cccc2F)F
c1ccc2c(c1)[nH]c(n2)S[C@H]3CCCCC[C@@H]3N
C1C=NSO1
C1C(CO1)NC2COC2
c1csc(n1)NC#N
C1C[NH+](CC[N-]1)CC=O
Cc1cn2c(n1)CCC2
C[C@H]1CO[C@H](CN1)CO
C[C@@H]1C[C@@H](CC[NH2+]1)[S-]
C1COCCN1N
C1C[C@H]([C@@H]1C(F)(F)F)N
C[C@@H](C#C)N
c1cc(sc1)[C@@H](c2ccc(c(c2)F)Br)O
c1cc2c(cc1Br)c3c([nH]2)c(=O)ccs3
c1c(c(cs1)Br)[C@@H]([C@@H]2CCCCS2)O
c1cc(c(cc1F)Cl)[C@H](c2cscc2Br)O
c1cc(ccc1[C@@H](c2cscc2Br)O)F
c1c(nc[nH]1)/C=C\C(=O)[O-]
C/C(=N\N=C(\N)/[NH-])/CCl
C1=NC2=NON[C@H]2C(=N1)[O-]
C[C@@H](c1nnc(o1)[O-])N
Cc1c([n-]nn1)C(=O)NN
CNC(=O)NCC(=O)N(CCN(C)Cc1ccccc1)Cc2ccccc2
Cc1ccc2cc(c(=O)[nH]c2c1)CN(C[C@@H]3CCCO3)C(=S)NCCOC
CCO[C@@H](C)C(=O)Nc1c(c2c(s1)CCCC2)C(=O)NCCCOC
CCCOC(=O)CCC(=O)NC(=S)Nc1c(c2c(s1)CCC2)C#N
Cc1ccnn1CCCNC(=S)Nc2cnn(c2)Cc3ccccc3F
c1nnc(s1)CC#N
C/N=C\c1ccncc1
CS
C1C=NN[C@@H]1C#N
C[NH+](C)C#C/C=C\C=O
C[C@@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1CCC[C@@H]1C(=O)[O-])NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CO)NC(=O)[C@@H](CC(=O)[O-])NC(=O)CNC(=O)[C@@H](CCCNC(=[NH2+])N)[NH3+]
C[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1CCC[C@@H]1C(=O)[O-])NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CO)NC(=O)[C@@H](CC(=O)[O-])NC(=O)CNC(=O)[C@@H](CCCNC(=[NH2+])N)[NH3+]
C[C@H]([C@H](c1ccoc1)N)O
C([C@@H]1[C@H]2[C@H](N2)[C@H]([C@@H]1O)O)O
C(CO)[C@@H](c1nc(no1)N)N
c1cn(cn1)CC(=O)NCCN
C1COC[C@@H]1[C@@H](c2[n-]nnn2)[NH3+]
CN1C(=O)/C(=C/c2ccc(cc2)Br)/NC1=S
CS(=O)(=O)Nc1cccc(c1)I
c1cc(c(c2c1[nH]c(=S)n2[C@H]3CCN4[C@@H]3CCC4)F)F
C[C@@H]1CN[C@H](CN1C(=O)c2c(c(c(c(c2F)F)F)F)F)C
C#CC[C@H](c1cc2c(c(c1)Br)OCCCO2)O
CCN[C@@H]1COC[C@H]1C(=O)NCc2cnc(cn2)C
CCCc1nc(n(n1)CCS(=O)(=O)CC)N
CCCn1c(c(c(n1)C)CN2CCO[C@H](C2)C(=O)N)C
CC[NH+]1CCC(CC1)CNC(=O)c2nc([n-]n2)C3CC3
Cc1csc(n1)CO/N=C(\CN2CCOCC2)/N
CC(C)OC[C@H](c1[nH]ncn1)N
CCOCc1nc(on1)[C@@H]([C@@H](C)O)N
CCCn1cnnc1[C@@H]([C@@H](C)O)N
C[C@H]([C@H](CN1C(=O)COCC1=O)N)O
CNC(=O)CN1C(=O)CC[C@H](C1=O)N
c1c[nH]nc1CNC2CC(C2)[NH3+]
C1[C@H]([C@@H]([C@@H](C[NH2+]1)O)O)CO
Cc1nnc(n1N)SCC[NH3+]
C1CC1N2CC[C@](C2)(C[NH3+])N
Cc1csc(n1)/C=C\c2ccc(cc2)Br
c1cc2c(cc1F)C[C@H](O2)CI
