CC12CCC3C(C1CC(C2O)O)CCC4=C3C=CC(=C4)O
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34CO
CCCCCCCCCCCCCCCC(=O)O
CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4=O)C
CC(C(=O)NC(C)C(=O)O)N
C(C(=O)NCC(=O)O)N
C(C1C(C(C(C(O1)OC(C=O)C(C(C(CO)O)O)O)O)O)O)O
C(=O)(N)N
CC(=O)NCCC(=O)C1=C(C=CC(=C1)OC)NC=O
C1=CC(=CC=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O.[Cl-]
C(C(=O)C(=O)O)O
C1=NC(=C2C(=N1)N(C=N2)C3C4C(C(O3)CO)OP(=O)(O4)O)N
CC1=C(C=C2CCC(OC2=C1C)(C)CCC(=O)O)O
COC1=C(C=CC(=C1)CCC(=O)CC(=O)CCC2=CC(=C(C=C2)O)OC)O
CC(=O)NC(CCC(=O)O)C(=O)O
C1=C(NC=N1)CC(CO)N
C1CC(N(C1)C(=O)C2CCCN2C(=O)C(CCCN=C(N)N)N)C(=O)NCC(=O)NC(CC3=CC=CC=C3)C(=O)NC(CO)C(=O)N4CCCC4C(=O)NC(CC5=CC=CC=C5)C(=O)NC(CCCN=C(N)N)C(=O)O
C12=C(NC(=O)N1)N=C(NC2=O)N
C1=NC(=O)N=C1
C1CC(=O)NC1
OC1C(O)C2(C)C(C1)C1CCc3cc(ccc3C1CC2)O
c12C3CCC4(C(C(CC4C3CCc1cc(cc2)O)O)O)C
C12CC(O)C(O)C1(C)CCC1c3c(CCC12)cc(cc3)O
C12C(C)(C3C(C4CCC(C4(C)CC3)O)CC2)CCC(=O)C=1
C1CC2C3(CCC(C=C3CCC2C2C1(C)C(O)CC2)=O)C
OC1CCC2C1(C)CCC1C2CCC2C1(CCC(C=2)=O)C
C12C(CCC3C4(C(CCC13)=CC(=O)CC4)CO)(C(=O)CC2)C
C1C2C(CCC3(C)C2CCC3=O)C2(CCC(C=C2C1)=O)CO
C12C3CCC(=O)C3(CCC2C2(C(=CC(CC2)=O)CC1)CO)C
C(CCCCCCCCCC)CCCCC(=O)O
C(CCC)CCCCCCCCCCCC(O)=O
C(CCCCCCCCCCC(O)=O)CCCC
CC12C(CC(CC2)=O)CCC2C3CCC(C3(C)CCC21)=O
C1CC2C(C)(CCC(=O)C2)C2C1C1C(C(CC1)=O)(CC2)C
C1(C2(C)CCC3C(C2CC1)CCC1CC(=O)CCC13C)=O
O=C(NC(C)C(=O)O)C(C)N
CC(N)C(NC(C)C(=O)O)=O
O=C(O)C(NC(C(N)C)=O)C
C(C(O)=O)NC(=O)CN
O=C(CNC(=O)CN)O
C(N)C(=O)NCC(O)=O
OC1C(CO)OC(OC(C=O)C(C(C(O)CO)O)O)C(O)C1O
C1(O)C(OC(CO)C(O)C1O)OC(C(C(O)C(CO)O)O)C=O
C(C(C(O)C(O)C(C=O)OC1C(C(C(O)C(CO)O1)O)O)O)O
O=C(N)N
NC(=O)N
NC(N)=O
c1c(C(=O)CCNC(C)=O)c(ccc1OC)NC=O
C(c1cc(OC)ccc1NC=O)(=O)CCNC(=O)C
c1(OC)cc(C(=O)CCNC(C)=O)c(cc1)NC=O
Oc1cc(cc2c1cc(O)c([o+]2)-c1ccc(cc1)O)O.[Cl-]
[Cl-].c1(O)c2c(cc(O)c1)[o+]c(-c1ccc(O)cc1)c(c2)O
[Cl-].c1c(ccc(O)c1)-c1c(cc2c(cc(cc2[o+]1)O)O)O
O=C(O)C(=O)CO
C(=O)(O)C(=O)CO
C(C(C(=O)O)=O)O
O1C2C(CO)OC(n3cnc4c(ncnc34)N)C2OP1(O)=O
OP1(=O)OC2C(C(CO)OC2n2c3c(nc2)c(ncn3)N)O1
c1(N)ncnc2c1ncn2C1OC(CO)C2OP(O)(OC12)=O
C(CCC1(C)CCc2cc(c(c(c2O1)C)C)O)(=O)O
CC1(CCC(=O)O)Oc2c(C)c(C)c(cc2CC1)O
CC1(CCc2cc(O)c(c(c2O1)C)C)CCC(=O)O
C(CCc1ccc(c(OC)c1)O)(CC(=O)CCc1ccc(c(OC)c1)O)=O
Oc1ccc(cc1OC)CCC(CC(CCc1ccc(c(c1)OC)O)=O)=O
c1c(CCC(CC(=O)CCc2ccc(c(c2)OC)O)=O)ccc(O)c1OC
C(=O)(O)CCC(NC(=O)C)C(O)=O
OC(C(CCC(O)=O)NC(=O)C)=O
C(CC(NC(C)=O)C(=O)O)C(=O)O
c1ncc([nH]1)CC(N)CO
NC(CO)Cc1cnc[nH]1
C(N)(Cc1cnc[nH]1)CO
C(C(NC(=O)C1N(C(=O)C(NC(C(NC(CNC(C2CCCN2C(=O)C2CCCN2C(=O)C(N)CCCN=C(N)N)=O)=O)Cc2ccccc2)=O)CO)CCC1)Cc1ccccc1)(=O)NC(C(O)=O)CCCN=C(N)N
C(C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(NC(C(=O)O)CCCN=C(N)N)=O)(CO)NC(C(Cc1ccccc1)NC(=O)CNC(C1CCCN1C(=O)C1CCCN1C(=O)C(CCCN=C(N)N)N)=O)=O
C(CCC(NC(C(Cc1ccccc1)NC(C1CCCN1C(=O)C(CO)NC(C(Cc1ccccc1)NC(=O)CNC(=O)C1CCCN1C(C1N(CCC1)C(=O)C(CCCN=C(N)N)N)=O)=O)=O)=O)C(O)=O)N=C(N)N
n1c2c([nH]c([nH]2)=O)c(=O)[nH]c1N
c1(N)[nH]c(c2c([nH]c(=O)[nH]2)n1)=O
[nH]1c2c([nH]c1=O)c(=O)[nH]c(N)n2
N1=CC=NC1=O
N1C(N=CC=1)=O
C1=NC(N=C1)=O
C1CC(NC1)=O
C1(=O)CCCN1
