c1c(c2c(cc(c(c2nc1C(F)(F)F)F)F)F)NN
c1cc(c(cc1N)F)C(=O)Nc2ccc3c(c2)CCC3
c1cc(c(cc1NC(=O)C2(CCC2)N)Br)Cl
CC1=[NH+][C@@H](C(=[NH2+])N1C(C)(C)C)c2c(cccc2F)F
c1ccc2c(c1)[nH]c(n2)S[C@H]3CCCCC[C@@H]3N
C1C=NSO1
C1C(CO1)NC2COC2
c1csc(n1)NC#N
C1C[NH+](CC[N-]1)CC=O
Cc1cn2c(n1)CCC2
C[C@H]1CO[C@H](CN1)CO
C[C@@H]1C[C@@H](CC[NH2+]1)[S-]
C1COCCN1N
C1C[C@H]([C@@H]1C(F)(F)F)N
C[C@@H](C#C)N
c1cc(sc1)[C@@H](c2ccc(c(c2)F)Br)O
c1cc2c(cc1Br)c3c([nH]2)c(=O)ccs3
c1c(c(cs1)Br)[C@@H]([C@@H]2CCCCS2)O
c1cc(c(cc1F)Cl)[C@H](c2cscc2Br)O
c1cc(ccc1[C@@H](c2cscc2Br)O)F
c1c(nc[nH]1)/C=C\C(=O)[O-]
C/C(=N\N=C(\N)/[NH-])/CCl
C1=NC2=NON[C@H]2C(=N1)[O-]
C[C@@H](c1nnc(o1)[O-])N
Cc1c([n-]nn1)C(=O)NN
CNC(=O)NCC(=O)N(CCN(C)Cc1ccccc1)Cc2ccccc2
Cc1ccc2cc(c(=O)[nH]c2c1)CN(C[C@@H]3CCCO3)C(=S)NCCOC
CCO[C@@H](C)C(=O)Nc1c(c2c(s1)CCCC2)C(=O)NCCCOC
CCCOC(=O)CCC(=O)NC(=S)Nc1c(c2c(s1)CCC2)C#N
Cc1ccnn1CCCNC(=S)Nc2cnn(c2)Cc3ccccc3F
c1nnc(s1)CC#N
C/N=C\c1ccncc1
CS
C1C=NN[C@@H]1C#N
C[NH+](C)C#C/C=C\C=O
C[C@@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1CCC[C@@H]1C(=O)[O-])NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CO)NC(=O)[C@@H](CC(=O)[O-])NC(=O)CNC(=O)[C@@H](CCCNC(=[NH2+])N)[NH3+]
C[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1CCC[C@@H]1C(=O)[O-])NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CO)NC(=O)[C@@H](CC(=O)[O-])NC(=O)CNC(=O)[C@@H](CCCNC(=[NH2+])N)[NH3+]
C[C@H]([C@H](c1ccoc1)N)O
C([C@@H]1[C@H]2[C@H](N2)[C@H]([C@@H]1O)O)O
C(CO)[C@@H](c1nc(no1)N)N
c1cn(cn1)CC(=O)NCCN
C1COC[C@@H]1[C@@H](c2[n-]nnn2)[NH3+]
CN1C(=O)/C(=C/c2ccc(cc2)Br)/NC1=S
CS(=O)(=O)Nc1cccc(c1)I
c1cc(c(c2c1[nH]c(=S)n2[C@H]3CCN4[C@@H]3CCC4)F)F
C[C@@H]1CN[C@H](CN1C(=O)c2c(c(c(c(c2F)F)F)F)F)C
C#CC[C@H](c1cc2c(c(c1)Br)OCCCO2)O
CCN[C@@H]1COC[C@H]1C(=O)NCc2cnc(cn2)C
CCCc1nc(n(n1)CCS(=O)(=O)CC)N
CCCn1c(c(c(n1)C)CN2CCO[C@H](C2)C(=O)N)C
CC[NH+]1CCC(CC1)CNC(=O)c2nc([n-]n2)C3CC3
Cc1csc(n1)CO/N=C(\CN2CCOCC2)/N
CC(C)OC[C@H](c1[nH]ncn1)N
CCOCc1nc(on1)[C@@H]([C@@H](C)O)N
CCCn1cnnc1[C@@H]([C@@H](C)O)N
C[C@H]([C@H](CN1C(=O)COCC1=O)N)O
CNC(=O)CN1C(=O)CC[C@H](C1=O)N
c1c[nH]nc1CNC2CC(C2)[NH3+]
C1[C@H]([C@@H]([C@@H](C[NH2+]1)O)O)CO
Cc1nnc(n1N)SCC[NH3+]
C1CC1N2CC[C@](C2)(C[NH3+])N
Cc1csc(n1)/C=C\c2ccc(cc2)Br
c1cc2c(cc1F)C[C@H](O2)CI
c1ccc(c(c1)c2nc(cs2)Br)F
Cc1c(nc(nc1Cl)C)c2ccc(cc2F)F
c1cc(sc1[C@@H](c2ccoc2)Br)Cl
CN(C)CCn1c(c(cn1)OC)[C@H](c2c[nH]nc2N)NN
C[C@H](C(=O)N)NC(=O)C1=C[C@H]([C@H]([C@@H](C1)O)O)NC(=O)C[NH2+]C
C[C@@H](C(=O)N[C@@H]1C=C(C[C@H]([C@@H]1O)O)C(=O)N[C@@H](CCS(=O)(=O)C)C(=O)N)[NH2+]C
Cn1cc(c(n1)C(=O)N(CC(=O)N)CC(=O)N)N
[H]/N=C(/N)\N/N=C/C(=N/NC(=[NH2+])N)/CCCOCC
C[C@H](CC#N)NCCO
C1[C@H](CN[C@@H]1C=O)N
C#CC[C@H](CN)O
C1COCC(CO1)N
C#CC[C@@H](c1ccoc1)N
c1conc1C(=O)Nc2c(cn[nH]2)N
C1C(CN1Cc2nc(nc(n2)N)N)O
C1C[C@H]([C@H](C1)[NH3+])C(=O)N[C@@H]2CON=C2[O-]
c1cc2c([nH]c(n2)C(=O)NN)nc1
C1C[C@H](Cc2c1[nH+]c(nc2N)N)C(=O)[O-]
c1ccc(cc1)/N=C(/N/N=C\c2ccco2)\[S-]
C[C@]1(CC[C@@H](C1(C)C)C(=O)NC2CCCCC2)C(=O)[O-]
c1cc(nc(c1)Nc2cc(ccc2F)Cl)C(=O)[O-]
Cc1c(c([nH]n1)c2ccc(cc2)C(C)(C)C)C(=O)[O-]
n1c2c(c(cc(F)c2F)F)c(cc1C(F)(F)F)NN
c12c(F)cc(F)c(F)c1nc(C(F)(F)F)cc2NN
c1(cc(F)c2c(NN)cc(nc2c1F)C(F)(F)F)F
c1(C(=O)Nc2cc3c(cc2)CCC3)c(F)cc(N)cc1
N(c1ccc2c(c1)CCC2)C(=O)c1ccc(N)cc1F
c1(C(Nc2cc3c(CCC3)cc2)=O)ccc(cc1F)N
NC1(C(=O)Nc2cc(Br)c(Cl)cc2)CCC1
Brc1cc(NC(C2(N)CCC2)=O)ccc1Cl
c1c(NC(=O)C2(N)CCC2)ccc(Cl)c1Br
c1(c([C@H]2[NH+]=C(N(C2=[NH2+])C(C)(C)C)C)c(ccc1)F)F
CC(C)(C)N1C(=[NH+][C@@H](C1=[NH2+])c1c(F)cccc1F)C
[NH2+]=C1[C@H]([NH+]=C(N1C(C)(C)C)C)c1c(cccc1F)F
N[C@H]1CCCCC[C@@H]1Sc1nc2c([nH]1)cccc2
c1([nH]c2c(cccc2)n1)S[C@H]1CCCCC[C@@H]1N
c1cc2[nH]c(nc2cc1)S[C@H]1CCCCC[C@@H]1N
C1COSN=1
S1OCC=N1
O1SN=CC1
